route,party name
SANTHAPETTAI,THARANIS MEDICAL
KOKRAYANPETAI,MUGAMATHU MALIGAI
KANTHAM PALAYAM,DEVI MEDICAL
ANNANAGAR SPP COLNY,PRES BAKERY
NAMAKAL SNT ROAD,KALAI MEDICAL
SALEM ROAD,NEW JAYAM BAKERY
KOKRAYANPETAI,NEW LACKY MALIGAI
THOKAVADI,AMMAIAPPA BAKERYT
PATTARIMEDU,NELLAI ANGELS MALIGAIP
KOKRAYANPETAI,KAVERY MEDICAL
ANNANAGAR SPP COLNY,JJ DIPPARTMENT STORES
SALEM ROAD,JUMJUM MALIGAI
MANIKAM PALAYAM,THIRUMURUGAN MALIGAI
KUMARAMANGALAM,NITHIKSA MALIGAI
PAVADI STREET,SANMUGA MEDICALP
KUMARAMANGALAM,SSSM MALIGAI
PATTARIMEDU,ROJA MALIGAI
KOKRAYANPETAI,NS BAY MALIGAI
PATTARIMEDU,SHANMUGA BAKERY
Sundry Debtors,JEYASINI MALIGAI
THOKAVADI,SALOMI STORES
KOLIKALNATHAM ROAD,THANAM MALIGAI
ETTIMADI,SRI SAKTHI BAKERY
MANIKAM PALAYAM,VIJI BAKERY
PATTARIMEDU,MAYILI STORES
MANIKAM PALAYAM,GOOD VIBES MALIGAI
KOKRAYANPETAI,RAKMAN STORES
PATTARIMEDU,SANGARA MALIGAI
VELLORE ROAD,SRM SWEETS AND CAKES P LTD
ANNANAGAR SPP COLNY,FAMILY MART
VELLORE ROAD,SRI AMMAN MEDICAL
KOLIKALNATHAM ROAD,ASIMA MALIGAI
KOKRAYANPETAI,SIVANI IYANGAR BAKERY
KANTHAM PALAYAM,PERIYASAMY TEA STAL
MANIKAM PALAYAM,E K P MALIGAI
KOOTAPPALLI,UDHAYAM STORES MAIN
KOKRAYANPETAI,NILA BAKERYK
PATTARIMEDU,BATHIMA MALIGAI
ELACHIPALAYAM,KONGU BAKERY UNIEN OFFICE
NAMAKAL SNT ROAD,BOOKARAMA ESVARI
MANIKAM PALAYAM,HANIMITHRA
SOLASIRAMANI MOLASI,JAI ANJINEYA MEDICAL
MORE PALAYAM,KUMARAN BAKARY
MORE PALAYAM,KURINJI BAKERY KP
KUMARAMANGALAM,BEST MEDICAL
SANTHAPETTAI,TASTY BAKES ONE1
KOKRAYANPETAI,VINAYAGA  MEDICAL
KOKRAYANPETAI,THREE STAR BAKERY
ANNANAGAR SPP COLNY,NR DIPPARTMENT STORES
KOLIKALNATHAM ROAD,SRI VISHNU MAYA MALIGAI
KANTHAM PALAYAM,NITHYANANDAN
SOLASIRAMANI MOLASI,VELU MALIGAI
NAMAKAL SNT ROAD,HEMA MALIGAI
DEVANAKURUCHI,NANDHINI STORES
THOKAVADI,KAMACHI MALIGAIT
SALEM ROAD,ANANDAM MALIGAI
PATTARIMEDU,THAMILAN MALIGAI
SIDTHA LANTHUR,MANI MALIGAIS
KUMARAMANGALAM,KANNIMAR SAMY KOVIL
MORE PALAYAM,KANTHAN BAKERY
KOKRAYANPETAI,SRI GANAPATHY SUPERMARKET
MORE PALAYAM,NALANDAS SCHOOL CANTEEN
PUTHOOR THONDIKAD,MATHY MALIGAI
ETTIMADI,VIJIYA STORES
ELACHIPALAYAM,GRANT BAKERY
KUMARAMANGALAM,MEENACHI  CHIPS
KUMARAMANGALAM,MURUGAN MALIGAI NEW
SALEM ROAD,BLACK BEOKE
KUMARAMANGALAM,SRI KRISHNA DEPARTMENTAL STORE
PAVADI STREET,SIVAGURU POOJA STORES
THOKAVADI,ASIRVATHAM MALIGAI
SALEM ROAD,TESTY BAKERY BUSTAND
VELLORE ROAD,A TO Z SUPER MARKET V
KOKRAYANPETAI,VEERAMATHI AMMAN MALIGAI
SALEM ROAD,BLACK BASTAR
PATTARIMEDU,SM MALIGAIP
VELLORE ROAD,AMMAN MEDICAL
KOKRAYANPETAI,LECHIMI BAKERY
COLONY,JAYA MARUTHI MEDICALS
KUMARAMANGALAM,NELLAI KARUPATTI COFFI
DEVANAKURUCHI,NELLAI RENIS MALIGAI
DEVANAKURUCHI,GK MALIGAI
ETTIMADI,NELLAI MAHARAJA MALIGAI
Sundry Debtors,ARUVI IYANGAR BAKERY TWO
KOOTAPPALLI,TESTY BAKERY TWO
PATTARIMEDU,S TO Z BAKERY
VELLORE ROAD,IYANAR TEA STAL
KOKRAYANPETAI,NELLAI KUMAR MALIGAI
PATTARIMEDU,PR MALIGAI
COLONY,SAYRAM MALIGAI
MANIKAM PALAYAM,THIRUPATHY MALIGAI
THOKAVADI,KARUDA  BAKERY
THOKAVADI,YAL ARASAN MALIGAI
KOKRAYANPETAI,JAYASAKTHI DIPPARTMENT STORES
THOKAVADI,SELVA VINAYAGA MALIGAI
PUTHOOR THONDIKAD,SRI MURUGAN TRADERS
KANTHAM PALAYAM,MANISA FARMACY
NORTH CAR STREET,MASTER SWEET
SOLASIRAMANI MOLASI,ARASALA SETTIAR MALIGAI
MORE PALAYAM,KONGU BALBANNAI
MORE PALAYAM,NANDHU BALAKADAI
MORE PALAYAM,MS MALIGAI M
MORE PALAYAM,SRI IYANGAR BAKERY
MORE PALAYAM,KANAPATHI MALIGAI
KANTHAM PALAYAM,KBN MALIGAI
MORE PALAYAM,SREE BALAJI SUPER MARKETS
KOOTAPPALLI,KARUPATTY RAJA TEA STAL
MORE PALAYAM,SENTHIL MALIGAI NEW
MORE PALAYAM,SR BAKERYM
MORE PALAYAM,SRI MURUGAN DIPPARTMENT STORES
MORE PALAYAM,AASIQ MALIGAI
BUSTANT,ARUN ICE
MORE PALAYAM,MURUGAN STORE kp
MORE PALAYAM,MARIYAM MALIAGAI
MORE PALAYAM,KRISHNAVENI MALIGAI
NORTH CAR STREET,MM MALIGAI
SIDTHA LANTHUR,SARASWATHI MEDICAL
KOKRAYANPETAI,SN MALIGAI
KOKRAYANPETAI,SUDHA BAKERY
VELLORE ROAD,PRIYA MALIGAI
DEVANAKURUCHI,AYSA BAKERY
KOOTAPPALLI,NANTHI IYANGAR BAKERY
NAMAKAL SNT ROAD,KOVIL PATTY HOT SWEET
MORE PALAYAM,MURUGAN STORESS
SALEM ROAD,THAYA MEDOCAL
MORE PALAYAM,KAMACHI MALIGAI
KUMARAMANGALAM,BLACK PEKOE
KUMARAMANGALAM,SRI KUMARAN BAL BANNAI
NAMAKAL SNT ROAD,RAJALECHIMI MALIGAI
KOOTAPPALLI,THIRUMANI MAIGAI
NAMAKAL SNT ROAD,THILLAI MALIGAI
MORE PALAYAM,BLUCK BAKE TEA
KOLIKALNATHAM ROAD,MITHRAN MEDICAL
KOOTAPPALLI,INDIEN BAKERY KOOTAPALLI
DEVANAKURUCHI,DHANABAL TEA STALL
MORE PALAYAM,VRT MALIGAI
KANTHAM PALAYAM,MURUKESAN MALIGAI
KANTHAM PALAYAM,STAR MALIGAI
PATTARIMEDU,SENTHIL BOOJA
ANNANAGAR SPP COLNY,NEW SARATHI BASKERY
KOOTAPPALLI,UDHAYAM MALIGAI ULKADAI
MORE PALAYAM,DIVYAM MEDICAL
VELLORE ROAD,AVS COFFI BAR
SIDTHA LANTHUR,ROYAL BAKERY ONE
MANIKAM PALAYAM,SRI AMMAN DIPPARTMENT
NAMAKAL SNT ROAD,AMIRTHA SUPERMARKET
MORE PALAYAM,PONKALIAMMAN MALIGAI
PATTARIMEDU,KOVAI BAKERS RS
MANIKAM PALAYAM,RAPPAN STORES
MORE PALAYAM,SENGUNDAR ARTS COLLEGECANDINE
SANGAGIRI ROAD,THE GRAND BAKERY
EAST CAR STREET,SRI KRISHNA POOJA STORE
MORE PALAYAM,TASTY BAKSM
BUSTANT,MANGAI COOLDRINGS
COLONY,KM MALIGAIC
SOLASIRAMANI MOLASI,RAJA MALIGAIS
KOKRAYANPETAI,GRAND BAKERY
DEVANAKURUCHI,SRI MURUGAN MEDICAL
DEVANAKURUCHI,BALASUPRAMANIAM MALIGAI
SOLASIRAMANI MOLASI,ELAKYA MEDICAL
NAMAKAL SNT ROAD,DAMEGE STOCK DITAILS
KUMARAMANGALAM,SRS MART K
SOLASIRAMANI MOLASI,NM MALIGAIS
MORE PALAYAM,SELVI AMMAN MALIGAI
KANTHAM PALAYAM,CHERRY BAKES
MANIKAM PALAYAM,NEW AFRA MALIGAI
ELACHIPALAYAM,BALAMURUGAN TEA STAL
ELACHIPALAYAM,ASIQ MALIGAIE
BUSTANT,BLACK PASTER TEA SHOP
MORE PALAYAM,KUMARAVEL MALIGAI
PATTARIMEDU,MAHESH TEA STAL
PATTARIMEDU,GOWRI MEDICAL
SIDTHA LANTHUR,SWEET AND TASTY BAKERY
KOOTAPPALLI,SOORIYA STORES
KANTHAM PALAYAM,BABY MALIGAI
MORE PALAYAM,SENGOTAIYAN MALGAI
PATTARIMEDU,RAKMAN MALIGAI
KOLIKALNATHAM ROAD,MUGAVAI NEW
KOKRAYANPETAI,SM BAKERY&TEA STAL
KOKRAYANPETAI,NEW INDIAN DIPPARTMENT STORES
SIDTHA LANTHUR,SENTHOOR DEPARTMENT KK
KANTHAM PALAYAM,VINAYAGA SUPER MARKET
PATTARIMEDU,THIL MALIGAI
KUMARAMANGALAM,RAJA MALIGAI K
NAMAKAL SNT ROAD,DHIVYAM MADICAL
KOOTAPPALLI,SRI BAJAR DIPPARTMENT
SOLASIRAMANI MOLASI,MM MALIGAIM
SOLASIRAMANI MOLASI,BATHARAKALIAMMAN MALIGAI
THOKAVADI,SRI SAKTHI MURUGAN DEPARTMENT
NAMAKAL SNT ROAD,RAKUMATH MALIGAI
KANTHAM PALAYAM,JP BAKERY K
KOKRAYANPETAI,SAKTHI MEDICAL .
NAMAKAL SNT ROAD,BAVA DAYA STORES
KUMARAMANGALAM,JASERA MALIGAI
VELLORE ROAD,CHINNA DHURAI MALIGAI
NAMAKAL SNT ROAD,NELLAI PANDIYAN STORES
KUMARAMANGALAM,SANA BAKERY KK MALAYADI VARAM
MORE PALAYAM,KRS MALIGAI
ANNANAGAR SPP COLNY,NELLAI SIVASAKTHI MALIGAI
ANNANAGAR SPP COLNY,NAGULAN BAKES
PATTARIMEDU,MA MALIGAI
ELACHIPALAYAM,SIVASAKTHI MALIGAIE
MANIKAM PALAYAM,KIRESIYA MALIGAI
THOKAVADI,YESU MALIGAI
SANGAGIRI ROAD,ERODE PONNUSAMY HOTEL
KOOTAPPALLI,ANNAI MEDICAL
KOOTAPPALLI,SAIRAM MEDICAL
KOOTAPPALLI,MASTAR COFFI
PATTARIMEDU,TESTY BAKERY
KANTHAM PALAYAM,GANTHI SCHOOL
PUTHOOR THONDIKAD,SAIBABA BAKERY
DEVANAKURUCHI,NELLAI KALPANA MALIGAI
ELACHIPALAYAM,SITHESVARAN MALIGAI
NAMAKAL SNT ROAD,HARIHARAN
KOKRAYANPETAI,MALAR MALIGAI
SOUTH CAR STREET,R.D STORE
KANTHAM PALAYAM,KALAI BAKERS
ELACHIPALAYAM,AVS MALIGAI
SOLASIRAMANI MOLASI,SANTHIYA MALIGAIS
ELACHIPALAYAM,PVM BAKERY AND CACKS
SANTHAPETTAI,JEYAM DEPARTMENT STORES.
DEVANAKURUCHI,DAVID RAJA MALIGAI
ANNANAGAR SPP COLNY,BRATHAR BAKERY
KOOTAPPALLI,ATHI STORES
KOKRAYANPETAI,ELAKKYA STORES
SIDTHA LANTHUR,NEW GRANT BAKERY
KOLIKALNATHAM ROAD,BAKIYAM MALIGAI
COLONY,MUGAVAI MALIGAI C
KUMARAMANGALAM,JANAPRIYA MALIGAI
KUMARAMANGALAM,VELAVA BAKERY
KOKRAYANPETAI,BAGAVATHI  IYANGAR
NAMAKAL SNT ROAD,ANGAPPA  TEA STAL
SIDTHA LANTHUR,KANDAGURU MALIGAI
PATTARIMEDU,SIVASAKTHI SUPERMARKET
KANTHAM PALAYAM,NEW NELLAI ANGEL
KANTHAM PALAYAM,AMMAI APPA BAKERY
WEST CAR STREET,MS MALIGAI.
KANTHAM PALAYAM,SK AGENCY
VELLORE ROAD,ELAKKIYA MALIGAI
PATTARIMEDU,SABARI DIPPARTMENT STORES
KUMARAMANGALAM,SANBIYA MALIGAI
SANGAGIRI ROAD,RAMKI RIEL BALAMUTHIR SOLAI
KUMARAMANGALAM,VENKATESHWARA BAKERY .
KUMARAMANGALAM,KARPAGA VINAYAGAR MALIGAI
PATTARIMEDU,INDIAN BAKERY
PATTARIMEDU,MAHALAXMI BAKERY PALMADAI
SALEM ROAD,SRI UDHAYAM DEPARTMENT STORE
PATTARIMEDU,DHIVYAM PHARMACY
NORTH CAR STREET,AVC PHARMACY
COLONY,RM MALIGAI C
DEVANAKURUCHI,TATSY BAKERY
MANIKAM PALAYAM,GRACEYA MALIGAI
KOKRAYANPETAI,AMMAN STORES
ANNANAGAR SPP COLNY,NELLAI SUGUNA MALIGAI
PATTARIMEDU,BESCON BOREWELL COMPRESSOR
MANIKAM PALAYAM,ANBU MALIGAI M
KUMARAMANGALAM,OMSAKTHI MALIGAIE
ELACHIPALAYAM,JB MALIGAI
NAMAKAL SNT ROAD,ANBU MALIGAIA
EAST CAR STREET,SIVAKUMAR BALAKADAI
SOLASIRAMANI MOLASI,RAYAL MALIGAIE
MORE PALAYAM,BLACK PEKOE TEA SHOP
ANNANAGAR SPP COLNY,SSS MALIGAI
THOKAVADI,SANA BAKERY KSR OPP
NAMAKAL SNT ROAD,RANI BASGAR
NORTH CAR STREET,SURES BEETA
PAVADI STREET,PONSELVAM MALUGAI
NORTH CAR STREET,SAANTHI STORE
ANNANAGAR SPP COLNY,ANGALA PARAMESHWARI MALIGAI
SOLASIRAMANI MOLASI,MALAR MALIGAIS
PATTARIMEDU,PALANIYAPPA BAKERY
SANTHAPETTAI,BLACK POKOE JAYAM TEA
