route,party name
ETTIMADI,MATHINA MALIGAI
VELLORE ROAD,MATHUMITHA MALIGAI
KOKRAYANPETAI,YAMUNADEVI MALIGAI
VELLORE ROAD,MEENACHI MALIGAI
PAVADI STREET,SRI BAGAVATHI SUPER MARKET
BUSTANT,LUCKY STORES
BUSTANT,GOLDEN MALIGAI
SALEM ROAD,SRM SWEETS AND CAKES
SALEM ROAD,KANNAN DEPARTMENT
ERODE ROAD,SANGAR MARKETING
PUTHOOR THONDIKAD,MRV STORES
DEVANAKURUCHI,RKM MEDICAL
DEVANAKURUCHI,MOGAN MALIGAI
PAVADI STREET,NELLAI STORES TP
DEVANAKURUCHI,ARUMUGAM MALIGAI
PUTHOOR THONDIKAD,PONNUSAMI MALIGAI
PUTHOOR THONDIKAD,SUKUMAR MALIGAI
PUTHOOR THONDIKAD,NA STORES
ERODE ROAD,SS MALIGAIE
KOOTAPPALLI,RAJAMANIKKAM MALIGAI
ANNANAGAR SPP COLNY,NELLAI PRIYANGA MALIGAI
PAVADI STREET,MANI DUDY PAIDSHOP
KOOTAPPALLI,CAKE STER
KOOTAPPALLI,KANAGAM STORESK
KOOTAPPALLI,MUGAVAI MALIGAI
DEVANAKURUCHI,SAGAYAN MALIGAI
SIDTHA LANTHUR,ULAVAN BAKERYS
DEVANAKURUCHI,KAMALAM MALIGAI
KOOTAPPALLI,KURINJI BAKERY
THOKAVADI,ATHAVA BAKERY
THOKAVADI,TKM MALIGAI
THOKAVADI,SM TEA STAL
MANIKAM PALAYAM,SRI AMMAN BAKERY M
SOLASIRAMANI MOLASI,NEW STAR MALIGAI
KOOTAPPALLI,SANA BAKERY
THOKAVADI,KURINJI BAKERY K
THOKAVADI,CHOLA KENDIN KSR
KUMARAMANGALAM,GOLDEN MALIGAI K
THOKAVADI,SARJA BAKERY
THOKAVADI,BALAJI MALIGAI
THOKAVADI,KANISKA MALIGAI
THOKAVADI,SRI IYANAR STORES
NAMAKAL SNT ROAD,MATHESVARAN MALIGAI
NORTH CAR STREET,TAI MALIGAI
KOLIKALNATHAM ROAD,KUMARAN MALIGAI
NAMAKAL SNT ROAD,RAJAMANIKKAM MALIGAI N
KOKRAYANPETAI,NELLAI SARANYA MALIGAI
COLONY,SALEM STORE
COLONY,KEETHASRI MALIGAI
KOLIKALNATHAM ROAD,NIJAM MALIGAI
SOLASIRAMANI MOLASI,LECHIMI MALIGAIS
KUMARAMANGALAM,MKG BAKERY
COLONY,MARUTHI MEDICAL
KUMARAMANGALAM,REAIL IYANGAR BAKERY
KUMARAMANGALAM,NS MALIGAI
KUMARAMANGALAM,CLASIC PROW TEA SHOP
KUMARAMANGALAM,ANANDA SUPER MARKET
MANIKAM PALAYAM,DHANVANTHRI MEDICAL
KUMARAMANGALAM,MAYURA BAKERY MANDAPALAYAM
KUMARAMANGALAM,SENGUNTHAR ENJE COLL KENDIN
MANIKAM PALAYAM,RAJA MALIGAI
KUMARAMANGALAM,PRM MALIGAI
KUMARAMANGALAM,MASI KATHI BOOJA STORES
KUMARAMANGALAM,KONGU BALAKADAI TWO
KUMARAMANGALAM,MUGAVAI MALIGAI KU
KUMARAMANGALAM,DHARSINI MALIGAI
KUMARAMANGALAM,SRS MALIGAI
KUMARAMANGALAM,SRI MURUGAN BAKERY
KUMARAMANGALAM,MKM MALIGAI
KUMARAMANGALAM,HARI KRISHNA MALIGAI
KUMARAMANGALAM,SRI KUMARAN STORES
KUMARAMANGALAM,M K G ENTERPRISESS
ELACHIPALAYAM,RAJAJI MEDICAL
PAVADI STREET,SARAVANA MILK
VELLORE ROAD,JAI IYANGAR BAKERY K
KUMARAMANGALAM,MUTHARAMMAN MALIGAI
SANGAGIRI ROAD,IDHAYAM MEDICAL INDIA P LT D
SALEM ROAD,SRI SAKTHI CAKES & SWEETS
PAVADI STREET,KANESAN MALIGAI
ELACHIPALAYAM,SELACTION MALIGAI
ELACHIPALAYAM,NELLAI SANMUGA STORES
ELACHIPALAYAM,GOWTHAM MALIGAI
ELACHIPALAYAM,KONGU BAKERY ELIMEDU
KUMARAMANGALAM,NTR BANDIAN MALIGAI
ELACHIPALAYAM,SUGUNA MALIGAI
ELACHIPALAYAM,MAHALACHIMI BAKERY MANALI
MANIKAM PALAYAM,AFRA STORES
MANIKAM PALAYAM,AMMAN MALIGAI
DEVANAKURUCHI,NAVIN MALIGAI 1
DEVANAKURUCHI,RAJU MALIGAI
DEVANAKURUCHI,KTM MALIGAI
DEVANAKURUCHI,MUTHUKUMARAN DIPPARTMENT
DEVANAKURUCHI,MM 1 MALIGAI
DEVANAKURUCHI,ANGAPPAN MALIGAI
DEVANAKURUCHI,NALLAI SANDOS MALIGAI
COLONY,NALLAI MUTHARAMMAN MALIGAI
ETTIMADI,PALANIAPPAN MALIGAITWO
SIDTHA LANTHUR,SAKTHI MEDICAL
PATTARIMEDU,MUGAVAI MALIGAI B
PATTARIMEDU,IMAYAM MALIGAI
PATTARIMEDU,NILA MALIGAI
NORTH CAR STREET,PONMUTHAYA  SUPER MARKETTWO
SANTHAPETTAI,PPM MART 23.24
MANIKAM PALAYAM,SRI MAYURA BAKERY
COLONY,RM MALIGAI
DEVANAKURUCHI,TEA GLAUP
PATTARIMEDU,MURUGAN MALIGAI
PATTARIMEDU,THANGAM MEDICAL2
PATTARIMEDU,BMS MALIGAIP
PATTARIMEDU,RAGIM MALIGAI
SOLASIRAMANI MOLASI,ILAYABERUMAL MALIGAI
PATTARIMEDU,LUCK STORES
PATTARIMEDU,NM MALIGAI
KOKRAYANPETAI,ESVAR MALIGAI
VELLORE ROAD,INDIEN BAKERY
SIDTHA LANTHUR,SV STORES
SOLASIRAMANI MOLASI,ANGALAMMAN MALIGAIS
SIDTHA LANTHUR,KAVIN MALIGAI
SIDTHA LANTHUR,NAGAPPA MALIGAI
SIDTHA LANTHUR,NELLAIRAJ MALIGAI
SIDTHA LANTHUR,NEW BISMI MALIGAI
SIDTHA LANTHUR,BARANI STORES
SIDTHA LANTHUR,VADIVU MALIGAI
COLONY,KM MALIGAI
KANTHAM PALAYAM,SELVAKUMAR MALIGAI
KANTHAM PALAYAM,MAHALAXMI MALIGAIK
KANTHAM PALAYAM,LECHIMI MALIGAI
KOLIKALNATHAM ROAD,APSI MALIGAI
KANTHAM PALAYAM,CHENNAI BAKES
KANTHAM PALAYAM,VINAYAGA COOLDRINGS
BUSTANT,RANJITH COOLDRINGS
KANTHAM PALAYAM,MAHALAXMI BAAKERY
KANTHAM PALAYAM,ABUSEK MALIGAI
KANTHAM PALAYAM,MURUGESAN MALIGAI K
KANTHAM PALAYAM,SALEM STORES
SIDTHA LANTHUR,SELVARANI MALIGAI
KANTHAM PALAYAM,PRIYA COOLDRINGS
KANTHAM PALAYAM,MANTHIRI MALIGAI
KANTHAM PALAYAM,PARATH BOOK SHOP
VELLORE ROAD,A TO Z DIPPARTMENT STORES TWO
KANTHAM PALAYAM,SKV BOYS CANDIN
KUMARAMANGALAM,YES BAKERY
ERODE ROAD,CHENNAI STORES
SOLASIRAMANI MOLASI,MSR TRADERS MALIGAI
SANTHAPETTAI,MAHALAXMI MALIGAI
DEVANAKURUCHI,INVI SHOPPING CENTRE
NAMAKAL SNT ROAD,MAYITHILI
SANGAGIRI ROAD,NELLAIJEPAS MALIGAI
VELLORE ROAD,MAYURA IYYANGAR BAKARY V K
THOKAVADI,LUCKY STORES THO
SALEM ROAD,ATM MALIGAI
THOKAVADI,KSR E& C TRUST FC 01
KOKRAYANPETAI,SS MALIGAI
THOKAVADI,KSR E
THOKAVADI,VIDYAAVIKAS EDUCATIONAL INSTITUTIONS
WEST CAR STREET,BAVA FRUITS
SANGAGIRI ROAD,RAJAN IYANGAR BAKERY
EAST CAR STREET,TP SUPRAMANIAMT
EAST CAR STREET,UDHAYAM POOJA STORS
NAMAKAL SNT ROAD,HARIHARAN AGENCY
MANIKAM PALAYAM,PARATHI STORES
ETTIMADI,BARAMESVARI MALIGAI
PATTARIMEDU,RMS MALIGAI
ETTIMADI,PALANIAPPAN MALIGAI
BUSTANT,LINGESH MEDICALS
WEST CAR STREET,PORUNAI MITTAI KADAI
KUMARAMANGALAM,KRUTHIKA MALIGAI
KANTHAM PALAYAM,ARTHANARISVARA TEA STAL
SALEM ROAD,YAMMY SNACKS
MANIKAM PALAYAM,SRI BALAJI MEDICALS AND SUPERMARKET
BUSTANT,REAL FRUIT NO.1
NORTH CAR STREET,LECHIMI TEX
ELACHIPALAYAM,MAHALECHIMI MALIGAI
DEVANAKURUCHI,NELLAI SANDO PALAKADA
KOLIKALNATHAM ROAD,MKN MALIGAI
SIDTHA LANTHUR,BP BAKERY
KOLIKALNATHAM ROAD,SARANYA BISCUIT
ERODE ROAD,DEEPA MEDICAL
ERODE ROAD,ANNADURAI TEA STAL
KANTHAM PALAYAM,BLUCK
COLONY,MAHENDRA MALIGAI
SOUTH CAR STREET,INDHU COFFIPAR
NAMAKAL SNT ROAD,MALA KOVIL STAAL
MANIKAM PALAYAM,VIJAYAKUMAR MALIGAI
COLONY,GOPAL MALIGAI
VELLORE ROAD,SIVASAKYHI MEDICAL
MANIKAM PALAYAM,SUPRAMANI MALIGAI
SIDTHA LANTHUR,DEVARAJ MALIGAI SI
NORTH CAR STREET,murugan
